eventName,currentDoc,eventSource,sentIndex,compose,delete,relocate,reflect,seekSugg,acceptSugg,dismissSugg,reviseSugg,reviseUser,lowModification,highModification,highTemp,lowTemp
text-insert,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion,ever not watch or read something because of its offensive portrayal of someone?",user,3,0,0,0,0,0,0,0,0,0,0,1,0,1
text-insert,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, ever not watch or read something because of its offensive portrayal of someone?",user,3,0,0,0,0,0,0,0,0,0,0,1,0,1
text-insert,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, Iever not watch or read something because of its offensive portrayal of someone?",user,3,0,0,0,0,0,0,0,0,0,0,1,0,1
text-insert,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, I ever not watch or read something because of its offensive portrayal of someone?",user,3,0,0,0,0,0,0,0,0,0,0,1,0,1
text-insert,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, I wever not watch or read something because of its offensive portrayal of someone?",user,3,0,0,0,0,0,0,0,0,0,0,1,0,1
text-insert,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, I woever not watch or read something because of its offensive portrayal of someone?",user,3,0,0,0,0,0,0,0,0,0,0,1,0,1
text-insert,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, I wouever not watch or read something because of its offensive portrayal of someone?",user,3,0,0,0,0,0,0,0,0,0,0,1,0,1
text-insert,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, I woulever not watch or read something because of its offensive portrayal of someone?",user,3,0,0,0,0,0,0,0,0,0,0,1,0,1
text-insert,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, I wouldever not watch or read something because of its offensive portrayal of someone?",user,3,0,0,0,0,0,0,0,0,0,0,1,0,1
text-insert,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, I would ever not watch or read something because of its offensive portrayal of someone?",user,3,0,0,0,0,0,0,0,0,0,0,1,0,1
