,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630221210834,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.75,1,0,1,0
1,cursor-backward,user,1630221211006,,"{'index': 98, 'length': 0}","An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",98,[],0,,5,30,0.75,1,0,1,1
2,cursor-forward,user,1630221212949,,"{'index': 123, 'length': 0}","An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.75,1,0,1,2
3,cursor-select,user,1630221217657,,"{'index': 35, 'length': 88}","An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",35,[],0,,5,30,0.75,1,0,1,3
4,text-delete,user,1630221218670,"{'ops': [{'retain': 35}, {'delete': 7}, {'retain': 1}, {'delete': 80}]}",,"An alien has kidnapped Matt Damon, w",36,[],0,,5,30,0.75,1,0,1,4
5,text-insert,user,1630221218789,"{'ops': [{'retain': 36}, {'insert': 'h'}]}",,"An alien has kidnapped Matt Damon, wh",37,[],0,,5,30,0.75,1,0,1,5
6,text-insert,user,1630221218933,"{'ops': [{'retain': 37}, {'insert': 'o'}]}",,"An alien has kidnapped Matt Damon, who",38,[],0,,5,30,0.75,1,0,1,6
7,text-insert,user,1630221219126,"{'ops': [{'retain': 38}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, who ",39,[],0,,5,30,0.75,1,0,1,7
8,text-insert,user,1630221219373,"{'ops': [{'retain': 39}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, who t",40,[],0,,5,30,0.75,1,0,1,8
9,text-insert,user,1630221219485,"{'ops': [{'retain': 40}, {'insert': 'o'}]}",,"An alien has kidnapped Matt Damon, who to",41,[],0,,5,30,0.75,1,0,1,9
10,text-insert,user,1630221219605,"{'ops': [{'retain': 41}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, who to ",42,[],0,,5,30,0.75,1,0,1,10
11,text-insert,user,1630221219789,"{'ops': [{'retain': 42}, {'insert': 'h'}]}",,"An alien has kidnapped Matt Damon, who to h",43,[],0,,5,30,0.75,1,0,1,11
12,text-insert,user,1630221219917,"{'ops': [{'retain': 43}, {'insert': 'i'}]}",,"An alien has kidnapped Matt Damon, who to hi",44,[],0,,5,30,0.75,1,0,1,12
13,text-insert,user,1630221219997,"{'ops': [{'retain': 44}, {'insert': 's'}]}",,"An alien has kidnapped Matt Damon, who to his",45,[],0,,5,30,0.75,1,0,1,13
14,text-insert,user,1630221220133,"{'ops': [{'retain': 45}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, who to his ",46,[],0,,5,30,0.75,1,0,1,14
15,text-insert,user,1630221220301,"{'ops': [{'retain': 46}, {'insert': 's'}]}",,"An alien has kidnapped Matt Damon, who to his s",47,[],0,,5,30,0.75,1,0,1,15
16,text-insert,user,1630221220454,"{'ops': [{'retain': 47}, {'insert': 'u'}]}",,"An alien has kidnapped Matt Damon, who to his su",48,[],0,,5,30,0.75,1,0,1,16
17,text-insert,user,1630221220669,"{'ops': [{'retain': 48}, {'insert': 'p'}]}",,"An alien has kidnapped Matt Damon, who to his sup",49,[],0,,5,30,0.75,1,0,1,17
18,text-insert,user,1630221220765,"{'ops': [{'retain': 49}, {'insert': 'r'}]}",,"An alien has kidnapped Matt Damon, who to his supr",50,[],0,,5,30,0.75,1,0,1,18
19,text-insert,user,1630221221037,"{'ops': [{'retain': 50}, {'insert': 's'}]}",,"An alien has kidnapped Matt Damon, who to his suprs",51,[],0,,5,30,0.75,1,0,1,19
20,text-delete,user,1630221221341,"{'ops': [{'retain': 50}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, who to his supr",50,[],0,,5,30,0.75,1,0,1,20
21,text-delete,user,1630221221851,"{'ops': [{'retain': 49}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, who to his sup",49,[],0,,5,30,0.75,1,0,1,21
22,text-delete,user,1630221221880,"{'ops': [{'retain': 48}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, who to his su",48,[],0,,5,30,0.75,1,0,1,22
23,text-delete,user,1630221221912,"{'ops': [{'retain': 47}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, who to his s",47,[],0,,5,30,0.75,1,0,1,23
24,text-delete,user,1630221221942,"{'ops': [{'retain': 46}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, who to his ",46,[],0,,5,30,0.75,1,0,1,24
25,text-delete,user,1630221221973,"{'ops': [{'retain': 45}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, who to his",45,[],0,,5,30,0.75,1,0,1,25
26,text-delete,user,1630221222019,"{'ops': [{'retain': 44}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, who to hi",44,[],0,,5,30,0.75,1,0,1,26
27,text-delete,user,1630221222050,"{'ops': [{'retain': 43}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, who to h",43,[],0,,5,30,0.75,1,0,1,27
28,text-delete,user,1630221222081,"{'ops': [{'retain': 42}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, who to ",42,[],0,,5,30,0.75,1,0,1,28
29,text-delete,user,1630221222111,"{'ops': [{'retain': 41}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, who to",41,[],0,,5,30,0.75,1,0,1,29
30,text-delete,user,1630221222143,"{'ops': [{'retain': 40}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, who t",40,[],0,,5,30,0.75,1,0,1,30
31,text-delete,user,1630221222172,"{'ops': [{'retain': 39}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, who ",39,[],0,,5,30,0.75,1,0,1,31
32,text-delete,user,1630221222219,"{'ops': [{'retain': 38}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, who",38,[],0,,5,30,0.75,1,0,1,32
33,text-delete,user,1630221222248,"{'ops': [{'retain': 37}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, wh",37,[],0,,5,30,0.75,1,0,1,33
34,text-delete,user,1630221222279,"{'ops': [{'retain': 36}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, w",36,[],0,,5,30,0.75,1,0,1,34
35,text-delete,user,1630221222310,"{'ops': [{'retain': 35}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, ",35,[],0,,5,30,0.75,1,0,1,35
36,text-insert,user,1630221222565,"{'ops': [{'retain': 35}, {'insert': 'o'}]}",,"An alien has kidnapped Matt Damon, o",36,[],0,,5,30,0.75,1,0,1,36
37,text-insert,user,1630221222741,"{'ops': [{'retain': 36}, {'insert': 'n'}]}",,"An alien has kidnapped Matt Damon, on",37,[],0,,5,30,0.75,1,0,1,37
38,text-insert,user,1630221222820,"{'ops': [{'retain': 37}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, one",38,[],0,,5,30,0.75,1,0,1,38
39,text-insert,user,1630221222949,"{'ops': [{'retain': 38}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, one ",39,[],0,,5,30,0.75,1,0,1,39
40,text-insert,user,1630221223069,"{'ops': [{'retain': 39}, {'insert': 'f'}]}",,"An alien has kidnapped Matt Damon, one f",40,[],0,,5,30,0.75,1,0,1,40
41,text-insert,user,1630221223189,"{'ops': [{'retain': 40}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, one fa",41,[],0,,5,30,0.75,1,0,1,41
42,text-insert,user,1630221223348,"{'ops': [{'retain': 41}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, one fat",42,[],0,,5,30,0.75,1,0,1,42
43,text-insert,user,1630221223516,"{'ops': [{'retain': 42}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, one fate",43,[],0,,5,30,0.75,1,0,1,43
44,text-insert,user,1630221223741,"{'ops': [{'retain': 43}, {'insert': 'f'}]}",,"An alien has kidnapped Matt Damon, one fatef",44,[],0,,5,30,0.75,1,0,1,44
45,text-insert,user,1630221223828,"{'ops': [{'retain': 44}, {'insert': 'u'}]}",,"An alien has kidnapped Matt Damon, one fatefu",45,[],0,,5,30,0.75,1,0,1,45
46,text-insert,user,1630221224005,"{'ops': [{'retain': 45}, {'insert': 'l'}]}",,"An alien has kidnapped Matt Damon, one fateful",46,[],0,,5,30,0.75,1,0,1,46
47,text-insert,user,1630221224166,"{'ops': [{'retain': 46}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, one fateful ",47,[],0,,5,30,0.75,1,0,1,47
48,text-insert,user,1630221224317,"{'ops': [{'retain': 47}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, one fateful e",48,[],0,,5,30,0.75,1,0,1,48
49,text-insert,user,1630221224525,"{'ops': [{'retain': 48}, {'insert': 'v'}]}",,"An alien has kidnapped Matt Damon, one fateful ev",49,[],0,,5,30,0.75,1,0,1,49
50,text-insert,user,1630221224669,"{'ops': [{'retain': 49}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, one fateful eve",50,[],0,,5,30,0.75,1,0,1,50
51,text-insert,user,1630221224756,"{'ops': [{'retain': 50}, {'insert': 'n'}]}",,"An alien has kidnapped Matt Damon, one fateful even",51,[],0,,5,30,0.75,1,0,1,51
52,text-insert,user,1630221224893,"{'ops': [{'retain': 51}, {'insert': 'i'}]}",,"An alien has kidnapped Matt Damon, one fateful eveni",52,[],0,,5,30,0.75,1,0,1,52
53,text-insert,user,1630221224948,"{'ops': [{'retain': 52}, {'insert': 'n'}]}",,"An alien has kidnapped Matt Damon, one fateful evenin",53,[],0,,5,30,0.75,1,0,1,53
54,text-insert,user,1630221225013,"{'ops': [{'retain': 53}, {'insert': 'g'}]}",,"An alien has kidnapped Matt Damon, one fateful evening",54,[],0,,5,30,0.75,1,0,1,54
