,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629990651374,,,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly.",89,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1629990716082,"{'ops': [{'retain': 89}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. ",90,[],0,,5,30,0.75,1,0,1,1
2,text-insert,user,1629990718211,"{'ops': [{'retain': 90}, {'insert': 'M'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. M",91,[],0,,5,30,0.75,1,0,1,2
3,text-insert,user,1629990718386,"{'ops': [{'retain': 91}, {'insert': 'y'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My",92,[],0,,5,30,0.75,1,0,1,3
4,text-insert,user,1629990718487,"{'ops': [{'retain': 92}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My ",93,[],0,,5,30,0.75,1,0,1,4
5,text-insert,user,1629990718659,"{'ops': [{'retain': 93}, {'insert': 'd'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My d",94,[],0,,5,30,0.75,1,0,1,5
6,text-insert,user,1629990718874,"{'ops': [{'retain': 94}, {'insert': 'a'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My da",95,[],0,,5,30,0.75,1,0,1,6
7,text-insert,user,1629990719820,"{'ops': [{'retain': 95}, {'insert': 'd'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dad",96,[],0,,5,30,0.75,1,0,1,7
8,text-insert,user,1629990720215,"{'ops': [{'retain': 96}, {'insert': 's'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dads",97,[],0,,5,30,0.75,1,0,1,8
9,text-insert,user,1629990720324,"{'ops': [{'retain': 97}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dads ",98,[],0,,5,30,0.75,1,0,1,9
10,text-delete,user,1629990720601,"{'ops': [{'retain': 97}, {'delete': 1}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dads",97,[],0,,5,30,0.75,1,0,1,10
11,text-delete,user,1629990720788,"{'ops': [{'retain': 96}, {'delete': 1}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dad",96,[],0,,5,30,0.75,1,0,1,11
12,text-insert,user,1629990721065,"{'ops': [{'retain': 96}, {'insert': ""'""}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dad'",97,[],0,,5,30,0.75,1,0,1,12
13,text-insert,user,1629990721156,"{'ops': [{'retain': 97}, {'insert': 's'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dad's",98,[],0,,5,30,0.75,1,0,1,13
14,text-insert,user,1629990721238,"{'ops': [{'retain': 98}, {'insert': ' '}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dad's ",99,[],0,,5,30,0.75,1,0,1,14
15,text-insert,user,1629990721571,"{'ops': [{'retain': 99}, {'insert': 'r'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dad's r",100,[],0,,5,30,0.75,1,0,1,15
16,text-insert,user,1629990721853,"{'ops': [{'retain': 100}, {'insert': 'a'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dad's ra",101,[],0,,5,30,0.75,1,0,1,16
17,text-insert,user,1629990722251,"{'ops': [{'retain': 101}, {'insert': 'n'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dad's ran",102,[],0,,5,30,0.75,1,0,1,17
18,text-insert,user,1629990722474,"{'ops': [{'retain': 102}, {'insert': 'k'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dad's rank",103,[],0,,5,30,0.75,1,0,1,18
19,text-insert,user,1629990722638,"{'ops': [{'retain': 103}, {'insert': 'i'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dad's ranki",104,[],0,,5,30,0.75,1,0,1,19
20,text-insert,user,1629990722810,"{'ops': [{'retain': 104}, {'insert': 'n'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dad's rankin",105,[],0,,5,30,0.75,1,0,1,20
21,text-insert,user,1629990722992,"{'ops': [{'retain': 105}, {'insert': 'g'}]}",,"All of the ""#1 Dad"" mugs in the world change to show the actual ranking of Dads suddenly. My dad's ranking",106,[],0,,5,30,0.75,1,0,1,21
