,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629460216851,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1629460228151,"{'ops': [{'retain': 123}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,,5,30,0.75,1,0,1,1
2,text-insert,user,1629460229606,"{'ops': [{'retain': 124}, {'insert': 'H'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. H",125,[],0,,5,30,0.75,1,0,1,2
3,text-insert,user,1629460229860,"{'ops': [{'retain': 125}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. He",126,[],0,,5,30,0.75,1,0,1,3
4,text-insert,user,1629460230023,"{'ops': [{'retain': 126}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. He ",127,[],0,,5,30,0.75,1,0,1,4
5,text-insert,user,1629460230959,"{'ops': [{'retain': 127}, {'insert': 'i'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. He i",128,[],0,,5,30,0.75,1,0,1,5
6,text-insert,user,1629460231121,"{'ops': [{'retain': 128}, {'insert': 's'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. He is",129,[],0,,5,30,0.75,1,0,1,6
7,text-insert,user,1629460231261,"{'ops': [{'retain': 129}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. He is ",130,[],0,,5,30,0.75,1,0,1,7
8,text-insert,user,1629460232923,"{'ops': [{'retain': 130}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. He is t",131,[],0,,5,30,0.75,1,0,1,8
9,text-insert,user,1629460233063,"{'ops': [{'retain': 131}, {'insert': 'h'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. He is th",132,[],0,,5,30,0.75,1,0,1,9
10,text-insert,user,1629460233193,"{'ops': [{'retain': 132}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. He is the",133,[],0,,5,30,0.75,1,0,1,10
11,text-insert,user,1629460233340,"{'ops': [{'retain': 133}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. He is the ",134,[],0,,5,30,0.75,1,0,1,11
12,text-delete,user,1629460234181,"{'ops': [{'retain': 133}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. He is the",133,[],0,,5,30,0.75,1,0,1,12
13,text-delete,user,1629460234426,"{'ops': [{'retain': 132}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. He is th",132,[],0,,5,30,0.75,1,0,1,13
14,text-delete,user,1629460234601,"{'ops': [{'retain': 131}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. He is t",131,[],0,,5,30,0.75,1,0,1,14
