,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629293127609,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.3,1,0,0,0
1,text-insert,user,1629293133090,"{'ops': [{'retain': 123}, {'insert': '\n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
",123,[],0,,5,30,0.3,1,0,0,1
2,text-insert,user,1629293134786,"{'ops': [{'retain': 124}, {'insert': '\n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",124,[],0,,5,30,0.3,1,0,0,2
3,suggestion-get,user,1629293135115,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",125,[],0,,5,30,0.3,1,0,0,3
4,suggestion-open,api,1629293136981,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",125,"[{'index': 0, 'original': ""\n\nThe alien, named Zim, has been on Earth for a while, and he's a bit confused."", 'trimmed': ""The alien, named Zim, has been on Earth for a while, and he's a bit confused."", 'probability': 3.600873885070953e-22}, {'index': 1, 'original': '\n\nThe alien is in for a big surprise.', 'trimmed': 'The alien is in for a big surprise.', 'probability': 7.36869998915675e-16}, {'index': 2, 'original': '\n\n""The Martian"" (2015)', 'trimmed': '""The Martian"" (2015)', 'probability': 7.677404405293304e-14}, {'index': 3, 'original': '\n\nThe alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.', 'trimmed': 'The alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.', 'probability': 6.60951920787873e-14}]",0,,5,30,0.3,1,0,0,4
5,suggestion-hover,user,1629293136984,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",125,[],0,0,5,30,0.3,1,0,0,5
6,suggestion-hover,user,1629293138013,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",125,[],0,1,5,30,0.3,1,0,0,6
7,suggestion-hover,user,1629293138081,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",125,[],0,2,5,30,0.3,1,0,0,7
8,suggestion-hover,user,1629293140714,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",125,[],0,1,5,30,0.3,1,0,0,8
9,suggestion-hover,user,1629293142147,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",125,[],0,2,5,30,0.3,1,0,0,9
10,suggestion-hover,user,1629293142347,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",125,[],0,3,5,30,0.3,1,0,0,10
11,suggestion-select,user,1629293147235,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",125,[],0,3,5,30,0.3,1,0,0,11
12,suggestion-close,api,1629293147235,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",125,[],0,3,5,30,0.3,1,0,0,12
13,text-insert,api,1629293147240,"{'ops': [{'retain': 126}, {'insert': '\nThe alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.\n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.


The alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
",205,[],0,3,5,30,0.3,1,0,0,13
14,cursor-backward,user,1629293148947,,"{'index': 127, 'length': 0}","An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.


The alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
",127,[],0,3,5,30,0.3,1,0,0,14
15,text-delete,user,1629293149358,"{'ops': [{'retain': 126}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.


he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
",126,[],0,3,5,30,0.3,1,0,0,15
16,text-delete,user,1629293149546,"{'ops': [{'retain': 125}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
",125,[],0,3,5,30,0.3,1,0,0,16
17,text-delete,user,1629293149922,"{'ops': [{'retain': 124}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
",124,[],0,3,5,30,0.3,1,0,0,17
18,cursor-forward,user,1629293151779,,"{'index': 202, 'length': 0}","An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
",202,[],0,3,5,30,0.3,1,0,0,18
19,text-insert,user,1629293152352,"{'ops': [{'retain': 202}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
 ",203,[],0,3,5,30,0.3,1,0,0,19
20,suggestion-get,user,1629293153932,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
 ",203,[],0,3,5,30,0.3,1,0,0,20
21,suggestion-open,api,1629293155833,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
 ",203,"[{'index': 0, 'original': '\nThe alien is a huge fan of Matt Damon, and has kidnapped him in order to make him his friend.', 'trimmed': 'The alien is a huge fan of Matt Damon, and has kidnapped him in order to make him his friend.', 'probability': 2.1070052351225677e-06}]",0,3,5,30,0.3,1,0,0,21
22,suggestion-hover,user,1629293156942,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
 ",203,[],0,0,5,30,0.3,1,0,0,22
23,cursor-backward,user,1629293158202,,"{'index': 185, 'length': 0}","An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
 ",185,[],0,0,5,30,0.3,1,0,0,23
24,suggestion-close,user,1629293158203,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
 ",185,[],0,0,5,30,0.3,1,0,0,24
25,suggestion-get,user,1629293158961,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
 ",185,[],0,0,5,30,0.3,1,0,0,25
26,cursor-forward,api,1629293158962,,"{'index': 203, 'length': 0}","An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
 ",203,[],0,0,5,30,0.3,1,0,0,26
27,suggestion-open,api,1629293160562,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
 ",203,"[{'index': 0, 'original': '\nMatt Damon is a huge fan of the alien, and has been kidnapped by him.', 'trimmed': 'Matt Damon is a huge fan of the alien, and has been kidnapped by him.', 'probability': 1.639286986124657e-08}]",0,0,5,30,0.3,1,0,0,27
28,suggestion-get,user,1629293162645,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
 ",203,[],0,0,5,30,0.3,1,0,0,28
29,suggestion-close,api,1629293162646,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
 ",203,[],0,0,5,30,0.3,1,0,0,29
30,cursor-select,user,1629293171379,,"{'index': 124, 'length': 79}","An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
he alien is a huge fan of Matt Damon, and has kidnapped him to be his friend.
 ",124,[],0,0,5,30,0.3,1,0,0,30
31,text-delete,user,1629293171767,"{'ops': [{'retain': 124}, {'delete': 79}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
",124,[],0,0,5,30,0.3,1,0,0,31
32,text-insert,user,1629293172469,"{'ops': [{'retain': 124}, {'insert': '\n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",124,[],0,0,5,30,0.3,1,0,0,32
33,text-insert,user,1629293173232,"{'ops': [{'retain': 125}, {'insert': 'M'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

M",126,[],0,0,5,30,0.3,1,0,0,33
34,text-insert,user,1629293173488,"{'ops': [{'retain': 126}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Ma",127,[],0,0,5,30,0.3,1,0,0,34
35,text-insert,user,1629293173659,"{'ops': [{'retain': 127}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Mat",128,[],0,0,5,30,0.3,1,0,0,35
36,text-insert,user,1629293173807,"{'ops': [{'retain': 128}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt",129,[],0,0,5,30,0.3,1,0,0,36
37,text-insert,user,1629293173918,"{'ops': [{'retain': 129}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt ",130,[],0,0,5,30,0.3,1,0,0,37
38,text-insert,user,1629293174362,"{'ops': [{'retain': 130}, {'insert': 'D'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt D",131,[],0,0,5,30,0.3,1,0,0,38
39,text-insert,user,1629293174595,"{'ops': [{'retain': 131}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Da",132,[],0,0,5,30,0.3,1,0,0,39
40,text-insert,user,1629293174746,"{'ops': [{'retain': 132}, {'insert': 'm'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Dam",133,[],0,0,5,30,0.3,1,0,0,40
41,text-insert,user,1629293174885,"{'ops': [{'retain': 133}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Dama",134,[],0,0,5,30,0.3,1,0,0,41
42,text-insert,user,1629293174984,"{'ops': [{'retain': 134}, {'insert': 'n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Daman",135,[],0,0,5,30,0.3,1,0,0,42
43,text-delete,user,1629293175523,"{'ops': [{'retain': 134}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Dama",134,[],0,0,5,30,0.3,1,0,0,43
44,text-delete,user,1629293175681,"{'ops': [{'retain': 133}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Dam",133,[],0,0,5,30,0.3,1,0,0,44
45,text-insert,user,1629293175876,"{'ops': [{'retain': 133}, {'insert': 'o'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Damo",134,[],0,0,5,30,0.3,1,0,0,45
46,text-insert,user,1629293175974,"{'ops': [{'retain': 134}, {'insert': 'n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Damon",135,[],0,0,5,30,0.3,1,0,0,46
47,text-insert,user,1629293176453,"{'ops': [{'retain': 135}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Damon ",136,[],0,0,5,30,0.3,1,0,0,47
48,text-insert,user,1629293176821,"{'ops': [{'retain': 136}, {'insert': 'w'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Damon w",137,[],0,0,5,30,0.3,1,0,0,48
49,text-insert,user,1629293177042,"{'ops': [{'retain': 137}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Damon wa",138,[],0,0,5,30,0.3,1,0,0,49
50,text-insert,user,1629293177203,"{'ops': [{'retain': 138}, {'insert': 's'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Damon was",139,[],0,0,5,30,0.3,1,0,0,50
51,text-insert,user,1629293177312,"{'ops': [{'retain': 139}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Damon was ",140,[],0,0,5,30,0.3,1,0,0,51
52,text-insert,user,1629293177431,"{'ops': [{'retain': 140}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Damon was a",141,[],0,0,5,30,0.3,1,0,0,52
53,text-insert,user,1629293177564,"{'ops': [{'retain': 141}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Damon was a ",142,[],0,0,5,30,0.3,1,0,0,53
54,text-insert,user,1629293177937,"{'ops': [{'retain': 142}, {'insert': 'n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Damon was a n",143,[],0,0,5,30,0.3,1,0,0,54
55,text-insert,user,1629293178096,"{'ops': [{'retain': 143}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Damon was a na",144,[],0,0,5,30,0.3,1,0,0,55
56,text-insert,user,1629293178347,"{'ops': [{'retain': 144}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Damon was a nat",145,[],0,0,5,30,0.3,1,0,0,56
57,text-insert,user,1629293178439,"{'ops': [{'retain': 145}, {'insert': 'i'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

Matt Damon was a nati",146,[],0,0,5,30,0.3,1,0,0,57
