,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630120285069,,,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time.",234,[],0,,5,30,0.3,1,0,0,0
1,cursor-select,user,1630120300925,,"{'index': 147, 'length': 12}","A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time.",147,[],0,,5,30,0.3,1,0,0,1
2,cursor-forward,user,1630120325144,,"{'index': 234, 'length': 0}","A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time.",234,[],0,,5,30,0.3,1,0,0,2
3,text-insert,user,1630120327242,"{'ops': [{'retain': 234}, {'insert': ' '}]}",,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. ",235,[],0,,5,30,0.3,1,0,0,3
4,suggestion-get,user,1630120327577,,,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. ",235,[],0,,5,30,0.3,1,0,0,4
5,suggestion-open,api,1630120329446,,,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. ",235,"[{'index': 0, 'original': ""\n\nA woman is in love with a man who's in love with a woman who's in love with another man."", 'trimmed': ""A woman is in love with a man who's in love with a woman who's in love with another man."", 'probability': 2.803891712890212e-10}, {'index': 1, 'original': '\n\nA woman is in love with a man who is in love with a woman who is in love with a man who is in love with another', 'trimmed': 'A woman is in love with a man who is in love with a woman who is in love with a man who is in love with another', 'probability': 6.550419032540186e-09}, {'index': 2, 'original': ""\n\nA woman who's been in a coma for years wakes up to find that she's married to a man she doesn't remember, and she"", 'trimmed': ""A woman who's been in a coma for years wakes up to find that she's married to a man she doesn't remember, and she"", 'probability': 1.846994178090635e-11}, {'index': 3, 'original': '\n\nA woman is kidnapped and held for ransom.', 'trimmed': 'A woman is kidnapped and held for ransom.', 'probability': 1.886839387472232e-17}, {'index': 4, 'original': '\n\nA woman is kidnapped and held for ransom by a man who claims to be her husband.', 'trimmed': 'A woman is kidnapped and held for ransom by a man who claims to be her husband.', 'probability': 8.277231992724047e-13}]",0,,5,30,0.3,1,0,0,5
6,suggestion-hover,user,1630120329448,,,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. ",235,[],0,1,5,30,0.3,1,0,0,6
7,suggestion-hover,user,1630120331010,,,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. ",235,[],0,0,5,30,0.3,1,0,0,7
8,suggestion-hover,user,1630120331160,,,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. ",235,[],0,1,5,30,0.3,1,0,0,8
9,suggestion-hover,user,1630120331193,,,"A woman has been dating guy after guy, but it never seems to work out. She's unaware that she's actually been dating the same guy over and over; a shapeshifter who's fallen for her, and is certain he's going to get it right this time. ",235,[],0,2,5,30,0.3,1,0,0,9
