,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630268643200,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.3,1,0,0,0
1,text-insert,user,1630268655162,"{'ops': [{'retain': 123}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,,5,30,0.3,1,0,0,1
2,text-insert,user,1630268658800,"{'ops': [{'retain': 124}, {'insert': 'S'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. S",125,[],0,,5,30,0.3,1,0,0,2
3,text-delete,user,1630268659494,"{'ops': [{'retain': 124}, {'delete': 1}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,,5,30,0.3,1,0,0,3
4,text-insert,user,1630268660198,"{'ops': [{'retain': 124}, {'insert': 'W'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. W",125,[],0,,5,30,0.3,1,0,0,4
5,text-insert,user,1630268660494,"{'ops': [{'retain': 125}, {'insert': 'h'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. Wh",126,[],0,,5,30,0.3,1,0,0,5
6,text-insert,user,1630268661082,"{'ops': [{'retain': 126}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. Whe",127,[],0,,5,30,0.3,1,0,0,6
7,text-insert,user,1630268661192,"{'ops': [{'retain': 127}, {'insert': 'n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. When",128,[],0,,5,30,0.3,1,0,0,7
8,text-insert,user,1630268661408,"{'ops': [{'retain': 128}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. When ",129,[],0,,5,30,0.3,1,0,0,8
9,text-insert,user,1630268663138,"{'ops': [{'retain': 129}, {'insert': 'p'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. When p",130,[],0,,5,30,0.3,1,0,0,9
10,text-insert,user,1630268663472,"{'ops': [{'retain': 130}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. When pe",131,[],0,,5,30,0.3,1,0,0,10
