,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1630424524073,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1630424536993,"{'ops': [{'retain': 123}, {'insert': '\n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.
",123,[],0,,5,30,0.75,1,0,1,1
2,text-insert,user,1630424537360,"{'ops': [{'retain': 124}, {'insert': '\n'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

",124,[],0,,5,30,0.75,1,0,1,2
3,text-insert,user,1630424545995,"{'ops': [{'retain': 125}, {'insert': 'I'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I",126,[],0,,5,30,0.75,1,0,1,3
4,text-insert,user,1630424546247,"{'ops': [{'retain': 126}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I ",127,[],0,,5,30,0.75,1,0,1,4
5,text-insert,user,1630424546360,"{'ops': [{'retain': 127}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I a",128,[],0,,5,30,0.75,1,0,1,5
6,text-insert,user,1630424546598,"{'ops': [{'retain': 128}, {'insert': 'm'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I am",129,[],0,,5,30,0.75,1,0,1,6
7,text-insert,user,1630424548118,"{'ops': [{'retain': 129}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I am ",130,[],0,,5,30,0.75,1,0,1,7
8,text-insert,user,1630424548239,"{'ops': [{'retain': 130}, {'insert': 'p'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I am p",131,[],0,,5,30,0.75,1,0,1,8
9,text-insert,user,1630424548326,"{'ops': [{'retain': 131}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I am pa",132,[],0,,5,30,0.75,1,0,1,9
10,text-insert,user,1630424548727,"{'ops': [{'retain': 132}, {'insert': 'r'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I am par",133,[],0,,5,30,0.75,1,0,1,10
11,text-insert,user,1630424548967,"{'ops': [{'retain': 133}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I am part",134,[],0,,5,30,0.75,1,0,1,11
12,text-insert,user,1630424549174,"{'ops': [{'retain': 134}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I am part ",135,[],0,,5,30,0.75,1,0,1,12
13,text-insert,user,1630424549334,"{'ops': [{'retain': 135}, {'insert': 'o'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I am part o",136,[],0,,5,30,0.75,1,0,1,13
14,text-insert,user,1630424549621,"{'ops': [{'retain': 136}, {'insert': 'f'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I am part of",137,[],0,,5,30,0.75,1,0,1,14
15,text-insert,user,1630424550463,"{'ops': [{'retain': 137}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.

I am part of ",138,[],0,,5,30,0.75,1,0,1,15
