,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629639110386,,,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion,",250,[],0,,5,30,0.2,1,0,0.5,0
1,text-insert,user,1629639125587,"{'ops': [{'retain': 250}, {'insert': ' '}]}",,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, ",251,[],0,,5,30,0.2,1,0,0.5,1
2,suggestion-get,user,1629639126561,,,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, ",251,[],0,,5,30,0.2,1,0,0.5,2
3,suggestion-open,api,1629639128704,,,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, ",251,"[{'index': 0, 'original': 'the most offensive stereotypical characters are those that are portrayed as being stupid, lazy, or uneducated.', 'trimmed': 'the most offensive stereotypical characters are those that are portrayed as being stupid, lazy, or uneducated.', 'probability': 3.2342940898454084e-16}, {'index': 1, 'original': ""the most offensive portrayal of a character is the one that is so stereotypical that it's laughable."", 'trimmed': ""the most offensive portrayal of a character is the one that is so stereotypical that it's laughable."", 'probability': 6.818921713845211e-18}, {'index': 2, 'original': 'the most offensive stereotypical characters are those that are based on real people.', 'trimmed': 'the most offensive stereotypical characters are those that are based on real people.', 'probability': 3.413317724064231e-14}, {'index': 3, 'original': 'the most offensive stereotypical characters are those that are portrayed as being less than human.', 'trimmed': 'the most offensive stereotypical characters are those that are portrayed as being less than human.', 'probability': 1.7861587546518767e-17}, {'index': 4, 'original': 'the most offensive stereotypical characters are those that are portrayed as being stupid.', 'trimmed': 'the most offensive stereotypical characters are those that are portrayed as being stupid.', 'probability': 1.903954084698015e-15}]",0,,5,30,0.2,1,0,0.5,3
4,suggestion-hover,user,1629639133614,,,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, ",251,[],0,0,5,30,0.2,1,0,0.5,4
5,suggestion-select,user,1629639134700,,,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, ",251,[],0,0,5,30,0.2,1,0,0.5,5
6,suggestion-close,api,1629639134701,,,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, ",251,[],0,0,5,30,0.2,1,0,0.5,6
7,text-insert,api,1629639134710,"{'ops': [{'retain': 251}, {'insert': 'the most offensive stereotypical characters are those that are portrayed as being stupid, lazy, or uneducated.'}]}",,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the most offensive stereotypical characters are those that are portrayed as being stupid, lazy, or uneducated.",361,[],0,0,5,30,0.2,1,0,0.5,7
8,text-insert,user,1629639136565,"{'ops': [{'retain': 361}, {'insert': ' '}]}",,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the most offensive stereotypical characters are those that are portrayed as being stupid, lazy, or uneducated. ",362,[],0,0,5,30,0.2,1,0,0.5,8
9,suggestion-get,user,1629639137154,,,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the most offensive stereotypical characters are those that are portrayed as being stupid, lazy, or uneducated. ",362,[],0,0,5,30,0.2,1,0,0.5,9
10,suggestion-open,api,1629639138949,,,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the most offensive stereotypical characters are those that are portrayed as being stupid, lazy, or uneducated. ",362,"[{'index': 0, 'original': ""I don't mind characters that are portrayed as being poor, but I do mind when they are portrayed as being stupid or lazy."", 'trimmed': ""I don't mind characters that are portrayed as being poor, but I do mind when they are portrayed as being stupid or lazy."", 'probability': 4.4373120941143335e-12}, {'index': 1, 'original': ""I'm not talking about characters that are portrayed as being poor or uneducated, but characters that are portrayed as being stupid."", 'trimmed': ""I'm not talking about characters that are portrayed as being poor or uneducated, but characters that are portrayed as being stupid."", 'probability': 2.120542921415995e-14}, {'index': 2, 'original': 'I cringe when I see a character who is supposed to be a genius portrayed as being stupid or uneducated.', 'trimmed': 'I cringe when I see a character who is supposed to be a genius portrayed as being stupid or uneducated.', 'probability': 4.369645509093751e-12}, {'index': 3, 'original': ""I don't like it when people are portrayed as being stupid or lazy."", 'trimmed': ""I don't like it when people are portrayed as being stupid or lazy."", 'probability': 6.345814152025821e-17}, {'index': 4, 'original': 'I cringe when I see a character who is supposed to be a genius portrayed as being stupid.', 'trimmed': 'I cringe when I see a character who is supposed to be a genius portrayed as being stupid.', 'probability': 8.036512587543957e-11}]",0,0,5,30,0.2,1,0,0.5,10
11,suggestion-hover,user,1629639140694,,,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the most offensive stereotypical characters are those that are portrayed as being stupid, lazy, or uneducated. ",362,[],0,0,5,30,0.2,1,0,0.5,11
