,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629953130384,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.3,1,0,0,0
1,suggestion-get,user,1629953147066,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.3,1,0,0,1
2,suggestion-open,api,1629953148938,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,"[{'index': 0, 'original': '\n\nThe alien is a fan of the Bourne movies, and has decided to take Matt Damon to a remote location and make him live the life', 'trimmed': 'The alien is a fan of the Bourne movies, and has decided to take Matt Damon to a remote location and make him live the life', 'probability': 1.1739442549724632e-17}, {'index': 1, 'original': '\n\nThe film is directed by Nacho Vigalondo and stars Anne Hathaway, Jason Sudeikis, and Dan Stevens.', 'trimmed': 'The film is directed by Nacho Vigalondo and stars Anne Hathaway, Jason Sudeikis, and Dan Stevens.', 'probability': 7.080798077973274e-08}, {'index': 2, 'original': '\n\nDamon is the only actor to appear in all four films.', 'trimmed': 'Damon is the only actor to appear in all four films.', 'probability': 6.872376417077549e-15}, {'index': 3, 'original': '\n\nA man is abducted by aliens and is being held captive.', 'trimmed': 'A man is abducted by aliens and is being held captive.', 'probability': 2.3618266755331703e-15}]",0,,5,30,0.3,1,0,0,2
3,suggestion-hover,user,1629953149403,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,3,5,30,0.3,1,0,0,3
4,suggestion-hover,user,1629953156008,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,2,5,30,0.3,1,0,0,4
5,suggestion-hover,user,1629953156045,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,1,5,30,0.3,1,0,0,5
6,suggestion-hover,user,1629953156578,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,0,5,30,0.3,1,0,0,6
7,suggestion-hover,user,1629953157106,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,1,5,30,0.3,1,0,0,7
8,suggestion-hover,user,1629953157128,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,2,5,30,0.3,1,0,0,8
9,suggestion-hover,user,1629953157144,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,3,5,30,0.3,1,0,0,9
