,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629272110021,,,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.",123,[],0,,5,30,0.75,1,0,1,0
1,text-insert,user,1629272112594,"{'ops': [{'retain': 123}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. ",124,[],0,,5,30,0.75,1,0,1,1
2,text-insert,user,1629272117124,"{'ops': [{'retain': 124}, {'insert': 'T'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. T",125,[],0,,5,30,0.75,1,0,1,2
3,text-insert,user,1629272117247,"{'ops': [{'retain': 125}, {'insert': 'h'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. Th",126,[],0,,5,30,0.75,1,0,1,3
4,text-insert,user,1629272117360,"{'ops': [{'retain': 126}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. Tha",127,[],0,,5,30,0.75,1,0,1,4
5,text-insert,user,1629272117388,"{'ops': [{'retain': 127}, {'insert': 't'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. That",128,[],0,,5,30,0.75,1,0,1,5
6,text-insert,user,1629272117505,"{'ops': [{'retain': 128}, {'insert': ""'""}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. That'",129,[],0,,5,30,0.75,1,0,1,6
7,text-insert,user,1629272117621,"{'ops': [{'retain': 129}, {'insert': 's'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. That's",130,[],0,,5,30,0.75,1,0,1,7
8,text-insert,user,1629272117712,"{'ops': [{'retain': 130}, {'insert': ' '}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. That's ",131,[],0,,5,30,0.75,1,0,1,8
9,text-insert,user,1629272117849,"{'ops': [{'retain': 131}, {'insert': 'b'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. That's b",132,[],0,,5,30,0.75,1,0,1,9
10,text-insert,user,1629272118009,"{'ops': [{'retain': 132}, {'insert': 'e'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. That's be",133,[],0,,5,30,0.75,1,0,1,10
11,text-insert,user,1629272118228,"{'ops': [{'retain': 133}, {'insert': 'c'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. That's bec",134,[],0,,5,30,0.75,1,0,1,11
12,text-insert,user,1629272118440,"{'ops': [{'retain': 134}, {'insert': 'a'}]}",,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing. That's beca",135,[],0,,5,30,0.75,1,0,1,12
