,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629285502758,,,"A woman has been dating guy after guy, but it never seems to work out. She’s unaware that she’s actually been dating the same guy over and over; a shapeshifter who’s fallen for her, and is certain he’s going to get it right this time.

One day,",244,[],0,,5,30,0.3,1,0,0,0
1,text-insert,user,1629285509324,"{'ops': [{'retain': 244}, {'insert': ' '}]}",,"A woman has been dating guy after guy, but it never seems to work out. She’s unaware that she’s actually been dating the same guy over and over; a shapeshifter who’s fallen for her, and is certain he’s going to get it right this time.

One day, ",245,[],0,,5,30,0.3,1,0,0,1
2,text-insert,user,1629285509548,"{'ops': [{'retain': 245}, {'insert': 's'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She’s unaware that she’s actually been dating the same guy over and over; a shapeshifter who’s fallen for her, and is certain he’s going to get it right this time.

One day, s",246,[],0,,5,30,0.3,1,0,0,2
3,text-delete,user,1629285509948,"{'ops': [{'retain': 245}, {'delete': 1}]}",,"A woman has been dating guy after guy, but it never seems to work out. She’s unaware that she’s actually been dating the same guy over and over; a shapeshifter who’s fallen for her, and is certain he’s going to get it right this time.

One day, ",245,[],0,,5,30,0.3,1,0,0,3
4,text-insert,user,1629285510115,"{'ops': [{'retain': 245}, {'insert': 't'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She’s unaware that she’s actually been dating the same guy over and over; a shapeshifter who’s fallen for her, and is certain he’s going to get it right this time.

One day, t",246,[],0,,5,30,0.3,1,0,0,4
5,text-insert,user,1629285510183,"{'ops': [{'retain': 246}, {'insert': 'h'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She’s unaware that she’s actually been dating the same guy over and over; a shapeshifter who’s fallen for her, and is certain he’s going to get it right this time.

One day, th",247,[],0,,5,30,0.3,1,0,0,5
6,text-insert,user,1629285510273,"{'ops': [{'retain': 247}, {'insert': 'e'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She’s unaware that she’s actually been dating the same guy over and over; a shapeshifter who’s fallen for her, and is certain he’s going to get it right this time.

One day, the",248,[],0,,5,30,0.3,1,0,0,6
7,text-insert,user,1629285510344,"{'ops': [{'retain': 248}, {'insert': ' '}]}",,"A woman has been dating guy after guy, but it never seems to work out. She’s unaware that she’s actually been dating the same guy over and over; a shapeshifter who’s fallen for her, and is certain he’s going to get it right this time.

One day, the ",249,[],0,,5,30,0.3,1,0,0,7
8,text-insert,user,1629285510523,"{'ops': [{'retain': 249}, {'insert': 'w'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She’s unaware that she’s actually been dating the same guy over and over; a shapeshifter who’s fallen for her, and is certain he’s going to get it right this time.

One day, the w",250,[],0,,5,30,0.3,1,0,0,8
9,text-insert,user,1629285510591,"{'ops': [{'retain': 250}, {'insert': 'o'}]}",,"A woman has been dating guy after guy, but it never seems to work out. She’s unaware that she’s actually been dating the same guy over and over; a shapeshifter who’s fallen for her, and is certain he’s going to get it right this time.

One day, the wo",251,[],0,,5,30,0.3,1,0,0,9
